~                val Ale Alx Aus Bau Bem Bra Clq Crk DLk Dul EGF Ely Fmt Frb FFl GPo GRa Hib Hut IFl LCr Lit LFa Luv Mkt Mar Mpl Mvo Mrh Mor NUl Nfd Noy Owa Pip RWi Rch SCl SPl SPt Skp Stl TRF Vir Was Wlm Wnd Win Wrt
AlbertLea          ~   ~  59  10  95  76  59  59  89  72  63  91  79  21  19  67  89  72  72  42  87  37  45  53  42  22  49  31  57  77  63  29  22 104  14  48  31  23  45  31  25  29  36  89  70  14  48  33  33  35
Alexandria         ~  59   ~  62  60  39  28  52  48  30  56  50  73  55  49  19  83  47  54  34  62  70  27  20  53  54  36  40  26  33  18  42  48  66  53  48  53  57  24  41  51  42  43  51  64  56  23  45  67  51
Austin             ~  10  62   ~  97  78  62  62  91  75  65  93  81  26  22  70  92  75  75  45  90  32  47  56  46  29  52  34  61  80  66  35  26 106  14  52  28  16  48  35  31  33  39  91  73  21  53  37  27  39
Baudette           ~  95  60  97   ~  32  54  54  50  52  55  46  55  98  87  61  82  39  47  74  24 102  72  59  94  89  83  79  75  60  69  81  86  42  90  90  87  91  65  78  87  79  79  37  46  92  71  87 100  92
Bemidji            ~  76  39  78  32   ~  31  40  29  29  43  35  48  80  67  40  73  24  32  54  35  85  52  38  77  71  64  59  56  39  49  62  66  49  70  72  69  73  44  59  69  61  61  30  38  73  51  69  82  75
Brainerd           ~  59  28  62  54  31   ~  31  50  30  35  55  51  63  49  32  66  27  35  34  54  69  32  13  65  54  52  40  45  40  38  44  48  67  53  60  52  56  23  40  51  42  42  51  40  56  37  57  66  63
Cloquet            ~  59  52  62  54  40  31   ~  59  51  10  63  34  70  50  53  47  24  24  48  44  68  47  38  85  56  64  40  58  59  57  59  49  75  53  72  50  55  38  39  54  45  40  59  22  56  51  68  65  74
Crookston          ~  89  48  91  50  29  50  59   ~  30  60  11  65  84  81  38  88  44  51  68  53  99  63  52  74  84  65  72  58  24  49  74  80  29  84  69  82  87  60  74  82  74  75  17  56  86  61  78  96  76
DetroitLakes       ~  72  30  75  52  29  30  51  30   ~  55  36  61  73  63  18  82  39  46  50  54  82  47  32  65  68  51  55  42  17  32  58  62  49  66  61  66  69  40  55  65  57  57  31  51  69  45  64  79  64
Duluth             ~  63  56  65  55  43  35  10  60  55   ~  66  35  73  53  56  43  27  26  52  45  71  50  42  86  60  68  44  62  63  61  63  52  77  57  75  53  58  42  43  58  48  44  62  23  59  55  72  68  77
EastGrandForks     ~  91  50  93  46  35  55  63  11  36  66   ~  70  89  83  40  92  50  57  70  58 100  65  58  76  86  68  75  61  27  52  76  82  28  85  71  85  90  62  76  84  76  78  19  61  88  63  80  98  83
Ely                ~  79  73  81  55  48  51  34  65  61  35  70   ~  88  70  71  43  33  25  69  40  87  68  58 103  77  84  62  78  69  77  79  69  81  73  91  70  75  60  61  74  66  62  66  19  76  72  88  84  93
